datetime,open,high,low,close,volume
2022-07-01 00:00:00+00:00,1071.4,1118.18,1050.56,1095.72,13454.87295
2022-07-01 01:00:00+00:00,1095.72,1103.46,1085.25,1096.56,6241.59047
2022-07-01 02:00:00+00:00,1096.56,1108.0,1090.88,1092.65,3882.01659
2022-07-01 03:00:00+00:00,1092.65,1093.3,1054.38,1054.38,5601.59913
2022-07-01 04:00:00+00:00,1054.38,1064.78,1045.47,1050.48,6389.79699
2022-07-01 05:00:00+00:00,1050.48,1063.14,1047.27,1057.05,4350.77299
2022-07-01 06:00:00+00:00,1057.05,1059.4,1049.94,1056.04,2880.26662
2022-07-01 07:00:00+00:00,1056.04,1075.74,1050.88,1067.22,3072.10612
2022-07-01 08:00:00+00:00,1067.22,1086.0,1062.31,1069.96,4345.48721
2022-07-01 09:00:00+00:00,1069.96,1075.38,1060.6,1063.53,3566.21589
2022-07-01 10:00:00+00:00,1063.53,1068.11,1036.25,1039.47,4380.55309
2022-07-01 11:00:00+00:00,1039.47,1052.39,1033.5,1050.14,3765.66084
2022-07-01 12:00:00+00:00,1050.14,1055.54,1043.15,1049.7,3276.74929
2022-07-01 13:00:00+00:00,1049.7,1074.56,1044.51,1062.0,7940.22368
2022-07-01 14:00:00+00:00,1062.0,1067.3,1045.43,1057.5,6198.63897
2022-07-01 15:00:00+00:00,1057.5,1065.23,1052.2,1056.83,3569.25254
2022-07-01 16:00:00+00:00,1056.83,1071.52,1055.07,1064.63,2874.04952
2022-07-01 17:00:00+00:00,1064.63,1083.08,1062.15,1073.97,2933.77567
2022-07-01 18:00:00+00:00,1073.97,1077.17,1067.96,1071.49,2614.96805
2022-07-01 19:00:00+00:00,1071.49,1073.21,1057.97,1067.9,2886.0936
2022-07-01 20:00:00+00:00,1067.9,1091.7,1064.9,1068.75,4269.53536
2022-07-01 21:00:00+00:00,1068.75,1076.22,1063.0,1068.62,1063.43115
2022-07-01 22:00:00+00:00,1068.62,1070.81,1060.92,1064.59,1627.30422
2022-07-01 23:00:00+00:00,1064.59,1074.56,1054.67,1059.36,1772.94374
2022-07-02 00:00:00+00:00,1059.36,1069.46,1050.82,1051.84,3415.74041
2022-07-02 01:00:00+00:00,1051.84,1064.75,1046.9,1059.05,2503.24419
2022-07-02 02:00:00+00:00,1059.05,1063.2,1036.99,1041.54,2781.88433
2022-07-02 03:00:00+00:00,1041.54,1043.75,1033.62,1038.02,2087.06265
2022-07-02 04:00:00+00:00,1038.02,1046.92,1036.03,1045.53,1683.83424
2022-07-02 05:00:00+00:00,1045.53,1051.56,1043.41,1046.19,1515.42012
2022-07-02 06:00:00+00:00,1046.19,1050.37,1044.77,1047.45,840.31418
2022-07-02 07:00:00+00:00,1047.45,1053.29,1040.55,1042.01,1193.66044
2022-07-02 08:00:00+00:00,1042.01,1045.19,1036.87,1039.29,1126.74775
2022-07-02 09:00:00+00:00,1039.29,1045.09,1027.6,1040.95,2166.35357
2022-07-02 10:00:00+00:00,1040.95,1048.91,1035.22,1045.76,1683.50155
2022-07-02 11:00:00+00:00,1045.76,1047.09,1039.01,1043.71,1227.43112
2022-07-02 12:00:00+00:00,1043.71,1064.37,1039.73,1058.71,3291.83285
2022-07-02 13:00:00+00:00,1058.71,1059.03,1049.79,1052.58,1633.17945
2022-07-02 14:00:00+00:00,1052.58,1062.24,1051.61,1055.1,1430.90006
2022-07-02 15:00:00+00:00,1055.1,1055.97,1044.75,1052.67,2017.06584
2022-07-02 16:00:00+00:00,1052.67,1068.09,1049.57,1061.74,2330.58945
2022-07-02 17:00:00+00:00,1061.74,1067.08,1058.98,1063.19,1180.00784
2022-07-02 18:00:00+00:00,1063.19,1077.5,1062.01,1070.18,1747.21881
2022-07-02 19:00:00+00:00,1070.18,1078.78,1062.07,1066.02,2136.68385
2022-07-02 20:00:00+00:00,1066.02,1067.71,1060.0,1064.47,1093.2969
2022-07-02 21:00:00+00:00,1064.47,1074.36,1063.68,1073.2,910.16446
2022-07-02 22:00:00+00:00,1073.2,1075.43,1068.15,1070.52,812.35269
2022-07-02 23:00:00+00:00,1070.52,1071.54,1065.86,1066.93,1028.26816
2022-07-03 00:00:00+00:00,1066.93,1071.03,1058.6,1063.32,1516.16023
2022-07-03 01:00:00+00:00,1063.32,1064.0,1054.27,1056.65,1237.28388
2022-07-03 02:00:00+00:00,1056.65,1062.1,1056.28,1061.02,976.71942
2022-07-03 03:00:00+00:00,1061.02,1066.0,1057.77,1062.52,1090.05892
2022-07-03 04:00:00+00:00,1062.52,1073.57,1040.8,1073.57,3363.07651
2022-07-03 05:00:00+00:00,1073.57,1087.68,1056.8,1058.56,4513.92755
2022-07-03 06:00:00+00:00,1058.56,1065.71,1057.22,1064.33,1425.48188
2022-07-03 07:00:00+00:00,1064.33,1064.77,1059.74,1063.49,729.36584
2022-07-03 08:00:00+00:00,1063.49,1065.22,1049.91,1057.66,1877.30426
2022-07-03 09:00:00+00:00,1057.66,1061.26,1053.12,1059.13,1566.55016
2022-07-03 10:00:00+00:00,1059.13,1063.78,1058.25,1061.42,975.76676
2022-07-03 11:00:00+00:00,1061.42,1065.5,1060.52,1061.07,771.86929
2022-07-03 12:00:00+00:00,1061.07,1063.19,1047.33,1054.6,1380.41586
2022-07-03 13:00:00+00:00,1054.6,1055.64,1042.11,1042.51,1636.71345
2022-07-03 14:00:00+00:00,1042.51,1053.76,1040.85,1051.59,1386.85324
2022-07-03 15:00:00+00:00,1051.59,1056.0,1049.36,1050.62,986.48107
2022-07-03 16:00:00+00:00,1050.62,1061.26,1049.58,1057.61,1210.02894
2022-07-03 17:00:00+00:00,1057.61,1062.48,1054.0,1060.02,628.00912
2022-07-03 18:00:00+00:00,1060.02,1063.63,1057.49,1059.75,659.01889
2022-07-03 19:00:00+00:00,1059.75,1083.25,1059.21,1077.81,2207.89515
2022-07-03 20:00:00+00:00,1077.81,1087.43,1077.81,1084.78,2402.83895
2022-07-03 21:00:00+00:00,1084.78,1087.24,1074.2,1076.23,900.3076
2022-07-03 22:00:00+00:00,1076.23,1081.51,1070.35,1076.0,1237.76809
2022-07-03 23:00:00+00:00,1076.0,1079.19,1070.1,1074.08,1160.3994
2022-07-04 00:00:00+00:00,1074.08,1076.56,1067.0,1072.98,2117.66467
2022-07-04 01:00:00+00:00,1072.98,1074.98,1067.97,1074.57,1726.17933
2022-07-04 02:00:00+00:00,1074.57,1075.5,1049.7,1050.26,2980.26476
2022-07-04 03:00:00+00:00,1050.26,1054.39,1047.7,1051.92,1730.85669
2022-07-04 04:00:00+00:00,1051.92,1056.46,1050.59,1055.6,1192.50673
2022-07-04 05:00:00+00:00,1055.6,1057.53,1053.04,1054.48,1100.32141
2022-07-04 06:00:00+00:00,1054.48,1057.62,1045.25,1047.5,1346.58624
2022-07-04 07:00:00+00:00,1047.5,1052.06,1046.41,1050.77,1380.38069
2022-07-04 08:00:00+00:00,1050.77,1054.51,1049.99,1051.19,1116.60952
2022-07-04 09:00:00+00:00,1051.19,1072.5,1050.56,1068.56,2563.57546
2022-07-04 10:00:00+00:00,1068.56,1080.0,1068.56,1075.21,4924.80087
2022-07-04 11:00:00+00:00,1075.21,1105.45,1071.65,1101.25,3925.49654
