configuration_id,group,control,mode,max_wait_bars,tolerance,retrace_pct,return_percent,annualized_return_percent,final_balance,maximum_drawdown_percent,profit_factor,win_rate_percent,average_trade,exposure_percent,fees,trades,blocked_entries,ema_signals,confirmed_pullbacks,confirmation_rate_percent,timeout_count,cancelled_count,average_wait_bars,median_wait_bars,average_entry_improvement_percent,median_entry_improvement_percent,worst_entry_deterioration_percent,worse_entry_count,worse_entry_percent,retained_trades_percent,control_return_percent,control_maximum_drawdown_percent,control_profit_factor,control_trades,passes_primary_filter,profitable_walk_forward_windows,walk_forward_windows_better_than_control,compounded_walk_forward_return_percent,median_walk_forward_profit_factor,worst_walk_forward_return_percent,median_walk_forward_return_delta_percent,passes_success_criteria
LOW_TOUCH_CLOSE_ABOVE|wait=2|tol=-|retrace=-,pullback,baseline,LOW_TOUCH_CLOSE_ABOVE,2,,,4.501501029195857,2.9156350888809746,1045.0150102919586,17.09420260684159,1.1756488239366045,22.22222222222222,2.500833905108809,4.817572598659717,38.22338200063681,18,0,138,18,13.043478260869565,116,4,1.5555555555555556,2.0,0.2375894381482887,0.11606389306892809,-0.540127753339023,5,27.77777777777778,13.043478260869565,-53.786361983894245,62.371252606419006,0.6736592530646253,138,False,2,3,16.125041435164377,0.5411299122341935,-6.043478550295845,11.173466071536449,False
LOW_TOUCH_CLOSE_ABOVE|wait=2|tol=-|retrace=-,atr_pullback,atr,LOW_TOUCH_CLOSE_ABOVE,2,,,4.898281694498701,3.1705175313985867,1048.982816944987,16.779418444670277,1.1941249197844,23.52941176470588,2.88134217323453,4.556962025316456,36.04339071015658,17,1,138,18,13.043478260869565,116,4,1.5555555555555556,2.0,0.24786326540668782,0.16919341138235236,-0.540127753339023,5,29.411764705882355,13.28125,-40.35102644737128,51.708882561148904,0.7623025578428135,128,False,2,3,16.56595540046797,0.5411299122341935,-6.043478550295845,11.150295271208664,False
LOW_TOUCH_CLOSE_ABOVE|wait=2|tol=-|retrace=-,adx_pullback,adx,LOW_TOUCH_CLOSE_ABOVE,2,,,-2.695754035876655,-1.7678683946621088,973.0424596412334,13.618381367274745,0.6462845511921057,28.57142857142857,-3.851077194109491,1.6679076693968726,13.893531754341122,7,11,138,18,13.043478260869565,116,4,1.5555555555555556,2.0,0.23046314208528615,0.24517278938508982,-0.540127753339023,3,42.857142857142854,9.722222222222223,-17.29566320602254,40.80885771074259,0.8606671668162691,72,False,2,4,11.510688526963285,0.1156031829294654,-2.8895429764695564,7.249642461450707,False
LOW_TOUCH_CLOSE_ABOVE|wait=2|tol=-|retrace=-,atr_adx_pullback,atr_adx,LOW_TOUCH_CLOSE_ABOVE,2,,,-2.695754035876655,-1.7678683946621088,973.0424596412334,13.618381367274745,0.6462845511921057,28.57142857142857,-3.851077194109491,1.6679076693968726,13.893531754341122,7,11,138,18,13.043478260869565,116,4,1.5555555555555556,2.0,0.23046314208528615,0.24517278938508982,-0.540127753339023,3,42.857142857142854,10.294117647058822,-0.8169453236379354,38.5718781060893,0.9934681362662444,68,False,2,3,11.510688526963285,0.1156031829294654,-2.8895429764695564,1.5336715991001375,False
LOW_TOUCH_CLOSE_ABOVE|wait=3|tol=-|retrace=-,pullback,baseline,LOW_TOUCH_CLOSE_ABOVE,3,,,25.54804685532679,16.00953753398693,1255.4804685532679,28.68278148663958,1.4267914766235474,21.428571428571427,9.124302448330996,8.525688756515263,73.95561274001308,28,0,138,28,20.28985507246377,103,7,2.0714285714285716,2.0,0.26372826852829473,0.2071831003837211,-0.540127753339023,6,21.428571428571427,20.28985507246377,-53.786361983894245,62.371252606419006,0.6736592530646253,138,False,2,3,39.6526400765266,0.5411299122341935,-13.803529210738875,18.711405378339876,False
LOW_TOUCH_CLOSE_ABOVE|wait=3|tol=-|retrace=-,atr_pullback,atr,LOW_TOUCH_CLOSE_ABOVE,3,,,26.02473893216884,16.296848536406138,1260.2473893216884,28.411997879413043,1.4382306918394314,22.22222222222222,9.63879219709957,8.265078183172003,71.12612785392243,27,1,138,28,20.28985507246377,103,7,2.0714285714285716,2.0,0.27116507940876844,0.24517278938508982,-0.540127753339023,6,22.22222222222222,21.09375,-40.35102644737128,51.708882561148904,0.7623025578428135,128,False,2,3,40.18288573706861,0.5411299122341935,-13.803529210738875,11.15133336564032,False
LOW_TOUCH_CLOSE_ABOVE|wait=3|tol=-|retrace=-,adx_pullback,adx,LOW_TOUCH_CLOSE_ABOVE,3,,,6.922880960034626,4.4658980985956775,1069.2288096003463,20.639822609318898,1.2841450956204632,25.0,5.769067466695522,3.7155621742367835,26.718113445366473,12,16,138,28,20.28985507246377,103,7,2.0714285714285716,2.0,0.25358175337408556,0.311238426884542,-0.540127753339023,3,25.0,16.666666666666664,-17.29566320602254,40.80885771074259,0.8606671668162691,72,False,3,3,19.93201682955512,2.047798847041245,-9.468673831133936,9.775900512594625,False
LOW_TOUCH_CLOSE_ABOVE|wait=3|tol=-|retrace=-,atr_adx_pullback,atr_adx,LOW_TOUCH_CLOSE_ABOVE,3,,,6.922880960034626,4.4658980985956775,1069.2288096003463,20.639822609318898,1.2841450956204632,25.0,5.769067466695522,3.7155621742367835,26.718113445366473,12,16,138,28,20.28985507246377,103,7,2.0714285714285716,2.0,0.25358175337408556,0.311238426884542,-0.540127753339023,3,25.0,17.647058823529413,-0.8169453236379354,38.5718781060893,0.9934681362662444,68,False,3,2,19.93201682955512,2.047798847041245,-9.468673831133936,-2.512860739720406,False
LOW_TOUCH_CLOSE_ABOVE|wait=5|tol=-|retrace=-,pullback,baseline,LOW_TOUCH_CLOSE_ABOVE,5,,,-0.5701240096631522,-0.37249179631507756,994.2987599033685,30.53203763750708,0.9926456869452662,17.391304347826086,-0.12394000210068774,12.181682799702159,97.24698982180344,46,0,138,46,33.33333333333333,81,11,2.9347826086956523,3.0,0.3777241518389612,0.34508016227754423,-0.540127753339023,7,15.217391304347828,33.33333333333333,-53.786361983894245,62.371252606419006,0.6736592530646253,138,False,2,3,10.277072764846263,0.23935585217184074,-19.277677000824987,13.237257588253762,False
LOW_TOUCH_CLOSE_ABOVE|wait=5|tol=-|retrace=-,atr_pullback,atr,LOW_TOUCH_CLOSE_ABOVE,5,,,4.432701602315911,2.8714058111296348,1044.327016023159,29.67852562947585,1.0587977274701545,16.666666666666664,1.05540514340855,11.213700670141474,92.78677871973781,42,4,138,46,33.33333333333333,81,11,2.9347826086956523,3.0,0.3857347394259962,0.3819695675332001,-0.540127753339023,7,16.666666666666664,32.8125,-40.35102644737128,51.708882561148904,0.7623025578428135,128,False,2,3,13.869148927297093,0.20716851703709618,-18.594975175321395,6.359887401057801,False
