period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_by_atr,blocked_by_adx,insufficient_history,invalid_indicator_value
wf_1,baseline,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1347.1114577102526,34.71114577102526,81.8653465503477,27.0407153562231,1.4932578360709967,30.952380952380953,42,8.264558516910776,52.87382642546371,106.58971724877034,0,0,0,0
wf_1,atr,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1442.2494492792086,44.224944927920866,108.56412417090557,23.38463150554096,1.6959765700580458,30.0,40,11.056236231980217,51.91206778108541,105.75661768713223,2,0,0,0
wf_1,adx,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1079.7017054549665,7.970170545496649,16.640733395717255,24.153039423702268,1.2452697471463443,26.31578947368421,19,4.194826602892973,21.433478360430502,40.22437250087581,0,23,0,0
wf_1,atr_adx,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1157.0290157894428,15.702901578944283,34.01396489496389,18.72094514360787,1.5969351707358814,27.77777777777778,18,8.723834210524602,20.540416762079232,39.75312385504421,2,23,0,0
wf_2,baseline,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1210.5561106924204,21.055611069242037,46.13811891789339,19.02487608297216,1.3717091978142133,33.33333333333333,39,5.398874633138983,52.11778029445073,87.26701333338639,0,0,0,0
wf_2,atr,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1210.5561106924204,21.055611069242037,46.13811891789339,19.02487608297216,1.3717091978142133,33.33333333333333,39,5.398874633138983,52.11778029445073,87.26701333338639,0,0,0,0
wf_2,adx,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1250.376109907162,25.037610990716193,55.83703379691445,16.61870395599611,1.6876469902060098,37.5,24,10.432337912798411,35.402038505096264,54.853056015425935,0,15,0,0
wf_2,atr_adx,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1250.376109907162,25.037610990716193,55.83703379691445,16.61870395599611,1.6876469902060098,37.5,24,10.432337912798411,35.402038505096264,54.853056015425935,0,15,0,0
wf_3,baseline,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,575.1687057064448,-42.483129429355515,-67.25267923724572,58.210365303704826,0.41224990013808255,28.57142857142857,49,-8.670026414154187,48.791158185586,65.6238289087162,0,0,0,0
wf_3,atr,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,664.6514073712233,-33.53485926287767,-56.15426940390572,51.708882561148904,0.5022607796563013,29.78723404255319,47,-7.135076438910143,47.93921252590375,68.07692664666297,2,0,0,0
wf_3,adx,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,907.2480502640902,-9.275194973590976,-17.837218352627993,33.9629093881806,0.7827116132363464,18.181818181818183,22,-4.215997715268625,21.64402486760304,37.62146332877738,0,27,0,0
