period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_entries,blocked_by_atr,blocked_by_adx,waiting_entries,pullback_confirmed,timed_out_entries,cancelled_entries,pullback_rate_percent,average_wait_bars,average_entry_price_improvement_percent
wf_1,baseline,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1347.1114577102526,34.71114577102526,81.8653465503477,27.0407153562231,1.4932578360709967,30.952380952380953,42,8.264558516910776,52.87382642546371,106.58971724877034,0,0,0,0,0,0,0,0.0,0.0,0.0
wf_1,atr,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1442.2494492792086,44.224944927920866,108.56412417090557,23.38463150554096,1.6959765700580458,30.0,40,11.056236231980217,51.91206778108541,105.75661768713223,2,2,0,0,0,0,0,0.0,0.0,0.0
wf_1,adx,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1079.7017054549665,7.970170545496649,16.640733395717255,24.153039423702268,1.2452697471463443,26.31578947368421,19,4.194826602892973,21.433478360430502,40.22437250087581,23,0,23,0,0,0,0,0.0,0.0,0.0
wf_1,atr_adx,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1157.0290157894428,15.702901578944283,34.01396489496389,18.72094514360787,1.5969351707358814,27.77777777777778,18,8.723834210524602,20.540416762079232,39.75312385504421,24,2,23,0,0,0,0,0.0,0.0,0.0
wf_1,pullback,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1274.977292783965,27.497729278396495,62.84470444396515,7.238389066454095,6.739965533208668,50.0,10,27.49772927839649,13.189832837188002,21.638284470701652,0,0,0,42,10,26,6,23.809523809523807,2.9,-0.03224482691989432
wf_1,atr_pullback,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1274.977292783965,27.497729278396495,62.84470444396515,7.238389066454095,6.739965533208668,50.0,10,27.49772927839649,13.189832837188002,21.638284470701652,0,0,0,42,10,26,6,23.809523809523807,2.9,-0.03224482691989432
wf_1,adx_pullback,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1177.460710580913,17.7460710580913,38.80649814402535,6.281498720274782,inf,100.0,1,177.46071058091297,2.4043966109457293,2.178639349930844,9,0,9,42,10,26,6,23.809523809523807,2.9,-1.01259682087935
wf_1,atr_adx_pullback,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,4368,1000.0,1177.460710580913,17.7460710580913,38.80649814402535,6.281498720274782,inf,100.0,1,177.46071058091297,2.4043966109457293,2.178639349930844,9,0,9,42,10,26,6,23.809523809523807,2.9,-1.01259682087935
wf_2,baseline,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1210.5561106924204,21.055611069242037,46.13811891789339,19.02487608297216,1.3717091978142133,33.33333333333333,39,5.398874633138983,52.11778029445073,87.26701333338639,0,0,0,0,0,0,0,0.0,0.0,0.0
wf_2,atr,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1210.5561106924204,21.055611069242037,46.13811891789339,19.02487608297216,1.3717091978142133,33.33333333333333,39,5.398874633138983,52.11778029445073,87.26701333338639,0,0,0,0,0,0,0,0.0,0.0,0.0
